cores,executor_memory_size,driver_memory_size,instances,model_type,max_iter,parallelism,max_memory,accuracy,training_time,prediction_time,total_time,max_depth,max_bins
1,1000,1000,1,logistic,10,1,500,50,2451,27,3532,,
1,1000,1000,1,gbt,10,1,500,50,4794,237,5277,3.0,16.0
1,1000,2000,1,logistic,10,1,500,50,774,15,976,,
1,1000,2000,1,gbt,10,1,500,50,3840,208,4174,3.0,16.0
1,1000,4000,1,logistic,10,1,500,50,670,15,816,,
1,1000,4000,1,gbt,10,1,500,50,3618,188,3943,3.0,16.0
1,1000,6000,1,logistic,10,1,500,50,718,12,857,,
1,1000,6000,1,gbt,10,1,500,50,3427,190,3722,3.0,16.0
1,1000,10000,1,logistic,10,1,500,50,553,15,679,,
1,1000,10000,1,gbt,10,1,500,50,3478,167,3748,3.0,16.0
1,1000,16000,1,logistic,10,1,500,50,885,11,1029,,
1,1000,16000,1,gbt,10,1,500,50,3358,177,3638,3.0,16.0
1,2000,1000,1,logistic,10,1,500,50,566,11,700,,
1,2000,1000,1,gbt,10,1,500,50,3384,180,3667,3.0,16.0
1,2000,2000,1,logistic,10,1,500,50,581,10,690,,
1,2000,2000,1,gbt,10,1,500,50,3316,171,3593,3.0,16.0
1,2000,4000,1,logistic,10,1,500,50,725,10,845,,
1,2000,4000,1,gbt,10,1,500,50,3334,174,3610,3.0,16.0
1,2000,6000,1,logistic,10,1,500,50,628,10,760,,
1,2000,6000,1,gbt,10,1,500,50,3342,168,3616,3.0,16.0
1,2000,10000,1,logistic,10,1,500,50,675,8,800,,
1,2000,10000,1,gbt,10,1,500,50,3262,179,3545,3.0,16.0
1,2000,16000,1,logistic,10,1,500,50,504,10,612,,
1,2000,16000,1,gbt,10,1,500,50,3357,172,3635,3.0,16.0
1,4000,1000,1,logistic,10,1,500,50,667,10,777,,
1,4000,1000,1,gbt,10,1,500,50,3243,166,3550,3.0,16.0
1,4000,2000,1,logistic,10,1,500,50,739,9,853,,
1,4000,2000,1,gbt,10,1,500,50,3314,166,3591,3.0,16.0
1,4000,4000,1,logistic,10,1,500,50,666,10,763,,
1,4000,4000,1,gbt,10,1,500,50,3420,162,3681,3.0,16.0
1,4000,6000,1,logistic,10,1,500,50,596,10,712,,
1,4000,6000,1,gbt,10,1,500,50,3322,177,3634,3.0,16.0
1,4000,10000,1,logistic,10,1,500,50,663,10,764,,
1,4000,10000,1,gbt,10,1,500,50,3361,166,3627,3.0,16.0
1,4000,16000,1,logistic,10,1,500,50,545,10,740,,
1,4000,16000,1,gbt,10,1,500,50,3228,163,3493,3.0,16.0
1,6000,1000,1,logistic,10,1,500,50,680,9,775,,
1,6000,1000,1,gbt,10,1,500,50,3293,164,3547,3.0,16.0
1,6000,2000,1,logistic,10,1,500,50,728,10,860,,
1,6000,2000,1,gbt,10,1,500,50,3289,163,3543,3.0,16.0
1,6000,4000,1,logistic,10,1,500,50,642,13,757,,
1,6000,4000,1,gbt,10,1,500,50,3310,164,3581,3.0,16.0
